0.167 10
0.16 20
0.154 30
0.151 40
0.13 50
0.162 60
0.165 70
0.173 80
0.173 90
0.196 100
0.187 110
0.205 120
0.194 130
0.218 140
0.225 150
0.244 160
0.269 170
0.269 180
0.286 190
0.298 200
0.331 210
0.337 220
0.387 230
0.397 240
0.408 250
0.422 260
0.451 270
0.482 280
0.476 290
0.508 300
0.499 310
0.555 320
0.575 330
0.6 340
0.602 350
0.606 360
0.618 370
0.645 380
0.663 390
0.682 400
0.669 410
0.686 420
0.691 430
0.702 440
0.739 450
0.75 460
0.764 470
0.794 480
0.795 490
0.811 500
0.811 510
0.794 520
0.819 530
0.849 540
0.859 550
0.87 560
0.873 570
0.854 580
0.897 590
0.892 600
